breed,breed_size,sex,age,weight_lbs,spay_neuter_status,daily_activity_level,diet,food_brand,daily_walk_distance_miles,other_pets_in_household,medications,seizures,hours_of_sleep,play_time_hrs,owner_activity_level,annual_vet_visits,average_temperature_f,healthy
Doberman,Large,Male,12,34,Neutered,Low,Home cooked,Special,3,No,Yes,No,13,2,None,0,51,No
German Shepherd,Large,Male,8.6,56,None,Low,Hard food,Royal Canin,3,Yes,No,No,9,1,None,0,76,No
Beagle,Small,Male,6,63,Spayed,Low,Home cooked,Special,2,Yes,No,Yes,9,2,Low,1,100,Yes
Doberman,Large,Male,7,39,Neutered,Low,Home cooked,Special,2,No,No,No,10,2,Moderate,4,72,Yes
Labrador Retriever,Large,Female,13,10,Neutered,None,Home cooked,Special,2,Yes,Yes,No,10,2,Low,1,88,Yes
Yorkshire Terrier,Small,Female,1,41,None,Very Active,Special diet,Hill's Science,3,No,Yes,No,11,0,Low,2,66,Yes
Beagle,Small,Male,5.4,29,Neutered,Moderate,Special diet,Blue Buffalo,2,No,No,No,14,1,Very Active,0,75,Yes
Yorkshire Terrier,Small,Female,10,51,Spayed,None,Special diet,Royal Canin,4,Yes,Yes,No,13,3,Low,3,66,Yes
Golden Retriever,Large,Male,9,60,Spayed,Moderate,Special diet,Nutro,3,No,Yes,Yes,10,1,Low,0,44,No
Siberian Husky,Medium,Female,8,58,None,Active,Home cooked,Special,2,No,Yes,No,11,1,None,2,54,Yes
Boxer,Medium,Male,4,63,Neutered,Moderate,Hard food,Wellness,4,No,Yes,No,12,3,Very Active,2,53,Yes
Labrador Retriever,Large,Male,10,79,None,Active,Hard food,Pedigree,3,No,Yes,No,9,1,None,4,75,No
Siberian Husky,Medium,Male,4,36,Neutered,Low,Hard food,Hill's Science,3,No,Yes,No,12,0,None,1,56,Yes
Labrador Retriever,Large,Male,4,20,Spayed,Active,Hard food,Purina,3,No,Yes,No,9,2,Moderate,1,67,Yes
Golden Retriever,Large,Male,4.4,26,None,None,Special diet,Pedigree,3,No,Yes,No,8,2,Low,0,75,No
Yorkshire Terrier,Small,Female,9,50,Neutered,Moderate,Special diet,Purina,2,Yes,No,No,11,1,Active,3,59,Yes
Golden Retriever,Large,Female,6,50,Neutered,Moderate,Special diet,Nutro,1,Yes,No,No,9,1,Very Active,0,55,Yes
Siberian Husky,Medium,Male,4,27,None,Moderate,Home cooked,Special,1,Yes,No,No,10,2,None,0,42,Yes
Chihuahua,Small,Male,4,55,Spayed,Active,Wet food,Purina,0,No,No,No,12,1,Moderate,0,67,Yes
Poodle,Small,Female,3,51,Neutered,Very Active,Hard food,Nutro,2,Yes,No,No,12,1,Moderate,1,60,Yes
Labrador Retriever,Large,Male,4,43,Spayed,Active,Hard food,Purina,2,No,No,No,13,1,Active,1,63,Yes
German Shepherd,Large,Female,10,50,None,Active,Special diet,Pedigree,4,No,No,No,9,3,Low,0,58,Yes
Beagle,Small,Male,4,62,Neutered,None,Hard food,Blue Buffalo,3,No,No,No,10,2,Moderate,1,68,Yes
Yorkshire Terrier,Small,Male,10.6,62,Spayed,Low,Wet food,Pedigree,1,No,Yes,No,12,1,None,1,46,No
Chihuahua,Small,Male,11,37,None,Active,Special diet,Hill's Science,3,No,No,No,10,2,Active,0,74,Yes
Golden Retriever,Large,Female,10,57,None,Low,Home cooked,Special,6,Yes,Yes,No,10,1,Moderate,0,51,No
Siberian Husky,Medium,Male,8,41,Neutered,Moderate,Special diet,Hill's Science,2,No,Yes,No,12,2,Active,0,76,Yes
Dachshund,Small,Male,2,33,None,None,Hard food,Purina,0,Yes,No,No,13,0,None,1,57,Yes
Labrador Retriever,Large,Female,4,71,Spayed,None,Special diet,Hill's Science,6,Yes,Yes,No,10,0,Low,1,48,Yes
Doberman,Large,Female,3,47,Neutered,Low,Wet food,Hill's Science,3,Yes,No,No,14,0,Moderate,2,85,Yes
Yorkshire Terrier,Small,Male,3,44,Neutered,None,Home cooked,Special,1,Yes,Yes,No,10,0,Very Active,3,51,Yes
Rottweiler,Large,Male,10,61,Neutered,Active,Wet food,Royal Canin,0,Yes,Yes,No,10,0,Active,2,91,Yes
Chihuahua,Small,Female,11,34,Spayed,None,Hard food,Wellness,1,No,Yes,No,10,1,Active,0,53,No
Great Dane,Large,Male,3,78,Neutered,Low,Wet food,Blue Buffalo,5,No,No,No,9,2,Low,2,68,Yes
Labrador Retriever,Large,Female,9,48,None,None,Hard food,Royal Canin,4,No,Yes,No,10,3,Very Active,1,84,No
Yorkshire Terrier,Small,Female,4,45,Neutered,Moderate,Home cooked,Special,7,No,No,Yes,8,0,Low,2,53,Yes
Doberman,Large,Male,9,12,None,Active,Home cooked,Special,1,Yes,No,No,11,2,Very Active,3,87,Yes
Siberian Husky,Medium,Male,4,62,Neutered,Very Active,Hard food,Iams,3,No,No,No,13,2,Low,2,66,Yes
Chihuahua,Small,Male,12,74,Neutered,Moderate,Special diet,Nutro,5,Yes,Yes,No,12,2,Active,0,78,No
Labrador Retriever,Large,Female,8.6,40,Spayed,Active,Hard food,Royal Canin,1,No,No,No,10,1,None,4,49,Yes
Beagle,Small,Male,11,62,Spayed,Low,Special diet,Pedigree,1,Yes,No,No,11,3,Low,3,83,Yes
Australian Shepherd,Medium,Female,7,19,None,Low,Wet food,Nutro,5,Yes,Yes,No,14,2,None,2,43,No
Yorkshire Terrier,Small,Male,8,50,Spayed,Active,Special diet,Iams,2,Yes,Yes,No,11,2,Low,3,64,Yes
Siberian Husky,Medium,Female,7,84,Neutered,Active,Special diet,Wellness,0,Yes,No,No,12,1,Active,3,60,Yes
Golden Retriever,Large,Female,10,59,Spayed,Low,Special diet,Hill's Science,1,No,No,No,12,1,None,2,45,Yes
Dachshund,Small,Female,4,23,Spayed,Very Active,Special diet,Nutro,3,Yes,Yes,No,13,3,Low,2,55,Yes
Siberian Husky,Medium,Male,2,66,None,Active,Hard food,Iams,2,Yes,No,No,10,3,None,0,69,Yes
Bulldog,Medium,Female,9,65,Neutered,Moderate,Wet food,Hill's Science,5,Yes,No,No,14,0,Low,0,58,No
Poodle,Small,Male,5,33,Spayed,Very Active,Special diet,Royal Canin,2,No,No,No,12,2,Very Active,2,64,Yes
Labrador Retriever,Large,Female,13,58,Spayed,Moderate,Home cooked,Special,2,No,No,No,12,1,Low,0,79,Yes
German Shepherd,Large,Female,12,47,None,Low,Home cooked,Special,3,Yes,No,No,10,0,None,2,48,Yes
Labrador Retriever,Large,Female,2,34.8,None,Moderate,Special diet,Wellness,2,No,No,No,10,3,Active,3,72,Yes
Boxer,Medium,Male,9.2,63,None,Active,Home cooked,Special,0,No,No,No,9,3,Active,2,84,Yes
Doberman,Large,Male,2,51,Spayed,Active,Hard food,Blue Buffalo,2,No,Yes,No,10,1,Low,0,70,Yes
Beagle,Small,Female,12,47,Spayed,Active,Hard food,Blue Buffalo,2,Yes,Yes,No,12,0,Moderate,0,63,No
Boxer,Medium,Female,6,67,Spayed,None,Hard food,Pedigree,2,Yes,No,Yes,11,1,None,4,66,Yes
Labrador Retriever,Large,Male,7,61,Spayed,Very Active,Special diet,Blue Buffalo,1,No,No,No,11,1,Moderate,2,74,Yes
Doberman,Large,Female,2,55,Neutered,Active,Wet food,Hill's Science,2,No,Yes,No,11,3,Very Active,3,45,Yes
Bulldog,Medium,Female,1,38,None,None,Home cooked,Special,1,Yes,Yes,Yes,13,2,None,1,56,No
Australian Shepherd,Medium,Male,1,43,Spayed,Very Active,Wet food,Iams,3,No,Yes,No,11,1,Low,2,49,Yes
German Shepherd,Large,Female,6,69,Spayed,Low,Special diet,Pedigree,4,Yes,No,No,11,2,Very Active,2,74,Yes
Chihuahua,Small,Female,2,47,Spayed,Active,Home cooked,Special,3,No,Yes,No,13,0,Moderate,2,57,Yes
Australian Shepherd,Medium,Male,7,10,Spayed,Active,Home cooked,Special,1,Yes,Yes,No,12,4,Moderate,1,68,Yes
Bulldog,Medium,Male,8,80,Neutered,Active,Wet food,Iams,2,No,Yes,No,10,1,Active,4,78,Yes
Rottweiler,Large,Female,4,58,Spayed,None,Hard food,Hill's Science,0,Yes,No,Yes,10,2,Very Active,0,49,No
Doberman,Large,Female,1,52,None,Very Active,Hard food,Purina,0,Yes,Yes,No,12,3,Active,1,33,No
Siberian Husky,Medium,Female,7,61,Neutered,Very Active,Wet food,Wellness,3,Yes,No,No,11,0,Moderate,0,61,Yes
Australian Shepherd,Medium,Male,2,44,None,Moderate,Home cooked,Special,4,Yes,Yes,No,12,1,None,1,75,Yes
Rottweiler,Large,Female,5,62,None,Very Active,Hard food,Hill's Science,3,Yes,No,No,13,3,Low,2,69,Yes
Doberman,Large,Male,11,73,None,Very Active,Home cooked,Special,3,No,No,No,11,2,Active,4,70,Yes
Dachshund,Small,Male,4,51,None,Low,Special diet,Blue Buffalo,4,Yes,Yes,Yes,11,3,Very Active,1,58,No
Siberian Husky,Medium,Female,6,25,Spayed,Low,Special diet,Wellness,4,No,No,No,12,2,None,2,80,Yes
Rottweiler,Large,Female,3,64,Spayed,None,Hard food,Royal Canin,3,Yes,Yes,No,11,1,Very Active,1,75,Yes
Chihuahua,Small,Female,9,55,Spayed,None,Home cooked,Special,2,No,Yes,No,11,2,Very Active,0,87,No
Beagle,Small,Male,8,58,Neutered,None,Wet food,Blue Buffalo,2,No,Yes,No,11,0,None,2,75,Yes
Siberian Husky,Medium,Male,13,38,Spayed,Very Active,Home cooked,Special,1,Yes,No,No,14,2,None,4,73,Yes
Chihuahua,Small,Male,8,52,Spayed,Low,Home cooked,Special,3,Yes,Yes,No,9,3,Very Active,2,45,Yes
Doberman,Large,Female,8,80,Spayed,Low,Wet food,Royal Canin,1,No,No,No,10,2,Very Active,2,55,Yes
Boxer,Medium,Female,10,59,None,Low,Hard food,Wellness,4,Yes,No,No,11,2,Active,0,63,No
Australian Shepherd,Medium,Female,11,61,None,Very Active,Home cooked,Special,2,No,No,No,10,3,Low,2,45,Yes
Great Dane,Large,Female,4,33,None,Low,Home cooked,Special,0,Yes,No,No,11,2,Moderate,2,83,Yes
Bulldog,Medium,Female,12,45,Neutered,Moderate,Special diet,Hill's Science,2,No,No,No,12,2,None,3,75,Yes
Rottweiler,Large,Male,8.8,52,Neutered,None,Special diet,Iams,1,Yes,Yes,No,12,2,Low,1,71,Yes
Siberian Husky,Medium,Female,5,42,Spayed,None,Hard food,Hill's Science,1,Yes,Yes,No,11,2,Low,2,83,Yes
Golden Retriever,Large,Male,11,54,None,Moderate,Hard food,Iams,3,Yes,No,No,10,2,Very Active,1,47,No
Boxer,Medium,Female,7,50,Spayed,Moderate,Wet food,Blue Buffalo,2,Yes,No,No,10,2,Active,1,46,Yes
German Shepherd,Large,Female,5,45,None,None,Wet food,Hill's Science,3,No,No,No,10,1,Moderate,3,72.2,Yes
Beagle,Small,Male,3,47,None,Moderate,Home cooked,Special,1,No,No,No,9,1,Active,3,64,Yes
Chihuahua,Small,Female,8,35,None,Moderate,Wet food,Iams,2,No,Yes,No,11,2,Active,0,76,No
Great Dane,Large,Male,9,50,Neutered,Moderate,Special diet,Hill's Science,5,Yes,No,No,13,2,Very Active,2,52.6,Yes
German Shepherd,Large,Male,8,66,Neutered,Very Active,Wet food,Royal Canin,4,No,Yes,No,9,3,Active,2,91,Yes
Doberman,Large,Male,9,52,None,Moderate,Special diet,Pedigree,2,No,No,No,11,1,Moderate,0,77,No
Boxer,Medium,Female,1,65,Spayed,Moderate,Special diet,Hill's Science,2,No,No,No,10,3,Very Active,0,64.8,Yes
Labrador Retriever,Large,Female,13,37,None,None,Wet food,Iams,4,Yes,Yes,No,11,2,None,0,80,No
Australian Shepherd,Medium,Male,13,42,None,Low,Special diet,Blue Buffalo,1,Yes,No,Yes,11,1,None,4,66.8,No
Poodle,Small,Female,6,60,Spayed,Moderate,Special diet,Wellness,3,No,No,No,11,2,Very Active,1,71,Yes
Bulldog,Medium,Female,13,61,Spayed,Low,Wet food,Royal Canin,5,Yes,Yes,No,12,3,Active,1,75,No
Golden Retriever,Large,Male,8,49,Spayed,Moderate,Wet food,Nutro,5,No,Yes,No,11,1,Low,1,50,Yes
Australian Shepherd,Medium,Male,3,61,None,Low,Special diet,Blue Buffalo,3,No,Yes,No,11,3,Low,1,60,No
Labrador Retriever,Large,Female,6,46,Neutered,Moderate,Wet food,Pedigree,2,No,Yes,No,10,1,None,0,70,No
Labrador Retriever,Large,Male,10,18,Spayed,Very Active,Home cooked,Special,3,Yes,No,No,9,1,Moderate,2,70,Yes
German Shepherd,Large,Female,6,41,None,Very Active,Home cooked,Special,2,No,No,No,10,0,Moderate,1,62,Yes
Dachshund,Small,Male,7,58,None,Active,Home cooked,Special,2,Yes,Yes,No,10,1,None,3,58.4,Yes
Poodle,Small,Male,1,52,Spayed,None,Hard food,Pedigree,0,Yes,Yes,No,10,3,Moderate,3,68,No
Dachshund,Small,Female,3,85,None,Moderate,Home cooked,Special,1,No,Yes,No,10,2,Very Active,1,67,No
Siberian Husky,Medium,Male,1,52,Spayed,Active,Hard food,Nutro,4,Yes,Yes,No,10,2,Active,3,43,Yes
Rottweiler,Large,Male,9,46,Spayed,Low,Home cooked,Special,2,No,No,No,12,1,Active,0,55,Yes
Boxer,Medium,Male,2,35,None,None,Hard food,Hill's Science,4,Yes,Yes,No,10,1,None,0,100,No
Golden Retriever,Large,Female,1,85,Neutered,Active,Wet food,Pedigree,1,No,No,No,12,2,Very Active,2,77,Yes
Yorkshire Terrier,Small,Female,1,36,None,Active,Home cooked,Special,1,No,Yes,No,10,2,Active,3,100,Yes
Australian Shepherd,Medium,Male,3,59,Neutered,Moderate,Wet food,Royal Canin,3,Yes,Yes,No,10,2,Low,1,90,Yes
Doberman,Large,Male,11,44,None,Active,Special diet,Wellness,1,No,No,No,11,0,Active,1,61,Yes
Bulldog,Medium,Male,13,55,None,Very Active,Hard food,Hill's Science,0,No,Yes,No,9,0,Active,0,76,No
Bulldog,Medium,Female,7,59,Neutered,Active,Home cooked,Special,1,Yes,Yes,No,10,1,Moderate,1,50,Yes
